Timestamp,Target_ID,Target_Type,Attack_Type,Intensity,PPO_Reward_Impact
1781807235.2831242,11,Intersection,FLOODING_DDOS,0.6,0.06586747616529465
1781807235.4798505,11,Intersection,FLOODING_DDOS,0.6,0.3352372646331787
1781807235.731001,11,Intersection,FLOODING_DDOS,0.6,0.35897690057754517
1781807235.8938668,11,Intersection,FLOODING_DDOS,0.6,0.5539573431015015
1781807236.0879421,11,Intersection,FLOODING_DDOS,0.6,0.31086263060569763
1781807236.2727466,11,Intersection,FLOODING_DDOS,0.6,0.2771110236644745
1781807237.515765,12,Intersection,SLOWLORIS_DDOS,0.5,0.5
1781807237.6847389,12,Intersection,SLOWLORIS_DDOS,0.5,0.5
1781807237.8543508,12,Intersection,SLOWLORIS_DDOS,0.5,0.5
1781807238.0394526,12,Intersection,SLOWLORIS_DDOS,0.5,0.5
1781807238.263572,12,Intersection,SLOWLORIS_DDOS,0.5,0.5
1781807238.5366862,12,Intersection,SLOWLORIS_DDOS,0.5,0.5
1781807238.7712977,12,Intersection,SLOWLORIS_DDOS,0.5,0.5
1781807239.012323,12,Intersection,SLOWLORIS_DDOS,0.5,0.5
1781807239.3422728,12,Intersection,SLOWLORIS_DDOS,0.5,0.5
1781807239.626574,12,Intersection,SLOWLORIS_DDOS,0.5,0.5
1781807239.916924,12,Intersection,SLOWLORIS_DDOS,0.5,0.5
1781807240.0772405,12,Intersection,SLOWLORIS_DDOS,0.5,0.5
1781807240.2676673,12,Intersection,SLOWLORIS_DDOS,0.5,0.5
1781807240.4431677,12,Intersection,SLOWLORIS_DDOS,0.5,0.4999999701976776
1781807240.6138234,12,Intersection,SLOWLORIS_DDOS,0.5,0.5
1781807242.0837023,13,Intersection,POSITION_JITTER,0.5,0.5892281532287598
1781807242.2827039,13,Intersection,POSITION_JITTER,0.5,0.764254629611969
1781807242.491883,13,Intersection,POSITION_JITTER,0.5,0.6263143420219421
1781807242.6821501,13,Intersection,POSITION_JITTER,0.5,0.7782161831855774
1781807242.8594232,13,Intersection,POSITION_JITTER,0.5,0.9391539096832275
1781807243.190614,13,Intersection,POSITION_JITTER,0.5,0.5369629263877869
1781807243.3738537,13,Intersection,POSITION_JITTER,0.5,0.5125331878662109
1781807243.664043,13,Intersection,POSITION_JITTER,0.5,0.4536903202533722
1781807243.9321353,13,Intersection,POSITION_JITTER,0.5,0.41651633381843567
1781807244.140823,13,Intersection,POSITION_JITTER,0.5,0.36796480417251587
1781807244.3458433,13,Intersection,POSITION_JITTER,0.5,0.9460169672966003
1781807244.7097094,13,Intersection,POSITION_JITTER,0.5,0.7774004340171814
1781807244.889252,13,Intersection,POSITION_JITTER,0.5,0.828126072883606
1781807245.0765135,13,Intersection,POSITION_JITTER,0.5,0.4574553072452545
1781807245.3453784,13,Intersection,POSITION_JITTER,0.5,0.5395728349685669
1781807246.9556112,14,Intersection,JAMMER,0.8,1.3477877378463745
1781807247.1365576,14,Intersection,JAMMER,0.8,0.9043360352516174
1781807247.3329694,14,Intersection,JAMMER,0.8,0.8295632600784302
1781807247.549911,14,Intersection,JAMMER,0.8,0.8753277659416199
1781807247.7463455,14,Intersection,JAMMER,0.8,0.9136365652084351
1781807247.9353414,14,Intersection,JAMMER,0.8,0.9471202492713928
1781807248.102983,14,Intersection,JAMMER,0.8,0.9489259123802185
